,BID NO,items,Quantity Required,Department Name And Address,Start Date,End Date
33,GEM/2020/B/525169,"Package No. 1 - ATAL TINKERING LAB OF NITI AAYOG ELECTRONICS DEVELOPMENT, ROBOTICS, INTERNET OF THI",1,"Niti Aayog - National Institution For Transforming India
Atal Innovation Mission
India Atal Tinkering Lab",30-01-2020 01:12 PM,10-02-2020 02:00 PM
34,GEM/2020/B/525171,Hot And Cold Air Conditioners,4,"Uttarakhand
Public Works Department Uttarakhand
Dehradun N/a",30-01-2020 01:14 PM,10-02-2020 02:00 PM
35,GEM/2020/B/517398,Domestic Refrigerators,3,"Madhya Pradesh
Department Of Higher Education Madhya Pradesh
Mlb College Bhopal Government Colleges Of Madhya Pradesh",25-01-2020 01:24 PM,10-02-2020 02:00 PM
36,GEM/2020/RA/32825,Refrigerated Micro-centrifuge,1,"Ministry Of Agriculture And Farmers Welfare
Department Of Agricultural Research And Education (dare)
Cmfri Indian Council Of Agricultural Research (icar)",07-02-2020 04:25 PM,10-02-2020 02:00 PM
37,GEM/2020/RA/33202,Laptop-Notebook,3,"Ministry Of Human Resource Development
Department Of Higher Education
Chandigarh National Institute Of Technical Teachers Training And Research (nitttrs)",30-01-2020 01:22 PM,10-02-2020 02:00 PM
38,GEM/2020/B/521492,Electronic Weighing Scales,1,"Pmo
Department Of Atomic Energy
Directorate Of Purchase And Stores N/a",29-01-2020 09:37 AM,10-02-2020 02:00 PM
39,GEM/2020/B/525177,TREADMILLS,3,"Ministry Of Defence
Department Of Defence
Air Force Station Jamnagar Gujarat Indian Air Force",30-01-2020 01:20 PM,10-02-2020 02:00 PM
40,GEM/2020/B/523555,Desktop Computers,1,"Uttar Pradesh
Medical Health And Family Welfare Department Uttar Pradesh
Divisional Hospital Mirzapur N/a",31-01-2020 09:38 AM,10-02-2020 02:00 PM
41,GEM/2020/B/519424,Workstation,1,"Ministry Of Environment Forest And Climate Change
Na
Almora Govind Ballabh Pant (g.b. Pant) Institute Of Himalayan Environment And Development (gbpihed)",27-01-2020 10:01 AM,10-02-2020 02:00 PM
42,GEM/2020/B/524948,Laser Speed Meter,3,"Gujarat
Ports And Transport Department Gujarat
Gandhinagar 382010 Commissionerate Of Transport",30-01-2020 01:08 PM,10-02-2020 02:00 PM
43,GEM/2020/B/525169,"Package No. 1 - ATAL TINKERING LAB OF NITI AAYOG ELECTRONICS DEVELOPMENT, ROBOTICS, INTERNET OF THI",1,"Niti Aayog - National Institution For Transforming India
Atal Innovation Mission
India Atal Tinkering Lab",30-01-2020 01:12 PM,10-02-2020 02:00 PM
44,GEM/2020/B/525171,Hot And Cold Air Conditioners,4,"Uttarakhand
Public Works Department Uttarakhand
Dehradun N/a",30-01-2020 01:14 PM,10-02-2020 02:00 PM
45,GEM/2020/B/517398,Domestic Refrigerators,3,"Madhya Pradesh
Department Of Higher Education Madhya Pradesh
Mlb College Bhopal Government Colleges Of Madhya Pradesh",25-01-2020 01:24 PM,10-02-2020 02:00 PM
46,GEM/2020/RA/32825,Refrigerated Micro-centrifuge,1,"Ministry Of Agriculture And Farmers Welfare
Department Of Agricultural Research And Education (dare)
Cmfri Indian Council Of Agricultural Research (icar)",07-02-2020 04:25 PM,10-02-2020 02:00 PM
47,GEM/2020/RA/33202,Laptop-Notebook,3,"Ministry Of Human Resource Development
Department Of Higher Education
Chandigarh National Institute Of Technical Teachers Training And Research (nitttrs)",30-01-2020 01:22 PM,10-02-2020 02:00 PM
48,GEM/2020/B/521492,Electronic Weighing Scales,1,"Pmo
Department Of Atomic Energy
Directorate Of Purchase And Stores N/a",29-01-2020 09:37 AM,10-02-2020 02:00 PM
49,GEM/2020/B/525177,TREADMILLS,3,"Ministry Of Defence
Department Of Defence
Air Force Station Jamnagar Gujarat Indian Air Force",30-01-2020 01:20 PM,10-02-2020 02:00 PM
